"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"FL7_15","L0402","418.4834mm","104.6985mm","418.4834mm","104.6985mm","418.4834mm","105.2436mm","T","270.00","Comment"
"FL6_15","L0402","418.4834mm","131.6985mm","418.4834mm","131.6985mm","418.4834mm","132.2436mm","T","270.00","Comment"
"FL5_15","L0402","418.4834mm","158.6985mm","418.4834mm","158.6985mm","418.4834mm","159.2436mm","T","270.00","Comment"
"FL4_15","L0402","418.4834mm","185.6985mm","418.4834mm","185.6985mm","418.4834mm","186.2436mm","T","270.00","Comment"
"FL3_15","L0402","418.4834mm","212.6985mm","418.4834mm","212.6985mm","418.4834mm","213.2436mm","T","270.00","Comment"
"FL2_15","L0402","418.4834mm","239.6985mm","418.4834mm","239.6985mm","418.4834mm","240.2436mm","T","270.00","Comment"
"D1_15","SC-79_L1.2-W0.8-LS1.6-RD","409.3412mm","256.5146mm","409.3412mm","256.5146mm","408.556mm","256.5146mm","T","360.00","Comment"
"FL1_15","L0402","418.4834mm","266.6985mm","418.4834mm","266.6985mm","418.4834mm","267.2436mm","T","270.00","Comment"
"FL1","L0402","13.4834mm","266.6985mm","13.4834mm","266.6985mm","13.4834mm","267.2436mm","T","270.00","Comment"
"BL1","L0402","13.487mm","266.7mm","13.487mm","266.7mm","13.487mm","266.1549mm","B","90.00","Comment"
"BL2","L0402","13.4874mm","239.7mm","13.4874mm","239.7mm","13.4874mm","239.1549mm","B","90.00","Comment"
"BL3","L0402","13.4874mm","212.7mm","13.4874mm","212.7mm","13.4874mm","212.1549mm","B","90.00","Comment"
"BL4","L0402","13.4874mm","185.7mm","13.4874mm","185.7mm","13.4874mm","185.1549mm","B","90.00","Comment"
"BL5","L0402","13.4874mm","158.7mm","13.4874mm","158.7mm","13.4874mm","158.1549mm","B","90.00","Comment"
"BL6","L0402","13.4874mm","131.7mm","13.4874mm","131.7mm","13.4874mm","131.1549mm","B","90.00","Comment"
"BL7","L0402","13.4874mm","104.7mm","13.4874mm","104.7mm","13.4874mm","104.1549mm","B","90.00","Comment"
"BL8","L0402","13.4874mm","77.7mm","13.4874mm","77.7mm","13.4874mm","77.1549mm","B","90.00","Comment"
"BL9","L0402","13.4874mm","50.7mm","13.4874mm","50.7mm","13.4874mm","50.1549mm","B","90.00","Comment"
"BL10","L0402","13.4874mm","23.7mm","13.4874mm","23.7mm","13.4874mm","23.1549mm","B","90.00","Comment"
"BL10_1","L0402","40.4874mm","23.7mm","40.4874mm","23.7mm","40.4874mm","23.1549mm","B","90.00","Comment"
"BL9_1","L0402","40.4874mm","50.7mm","40.4874mm","50.7mm","40.4874mm","50.1549mm","B","90.00","Comment"
"BL8_1","L0402","40.4874mm","77.7mm","40.4874mm","77.7mm","40.4874mm","77.1549mm","B","90.00","Comment"
"BL7_1","L0402","40.4874mm","104.7mm","40.4874mm","104.7mm","40.4874mm","104.1549mm","B","90.00","Comment"
"BL6_1","L0402","40.4874mm","131.7mm","40.4874mm","131.7mm","40.4874mm","131.1549mm","B","90.00","Comment"
"BL5_1","L0402","40.4874mm","158.7mm","40.4874mm","158.7mm","40.4874mm","158.1549mm","B","90.00","Comment"
"BL4_1","L0402","40.4874mm","185.7mm","40.4874mm","185.7mm","40.4874mm","185.1549mm","B","90.00","Comment"
"BL3_1","L0402","40.4874mm","212.7mm","40.4874mm","212.7mm","40.4874mm","212.1549mm","B","90.00","Comment"
"BL2_1","L0402","40.4874mm","239.7mm","40.4874mm","239.7mm","40.4874mm","239.1549mm","B","90.00","Comment"
"BL1_1","L0402","40.4874mm","266.7mm","40.4874mm","266.7mm","40.4874mm","266.1549mm","B","90.00","Comment"
"BL10_2","L0402","67.4874mm","23.7mm","67.4874mm","23.7mm","67.4874mm","23.1549mm","B","90.00","Comment"
"BL9_2","L0402","67.4874mm","50.7mm","67.4874mm","50.7mm","67.4874mm","50.1549mm","B","90.00","Comment"
"BL8_2","L0402","67.4874mm","77.7mm","67.4874mm","77.7mm","67.4874mm","77.1549mm","B","90.00","Comment"
"BL7_2","L0402","67.4874mm","104.7mm","67.4874mm","104.7mm","67.4874mm","104.1549mm","B","90.00","Comment"
"BL6_2","L0402","67.4874mm","131.7mm","67.4874mm","131.7mm","67.4874mm","131.1549mm","B","90.00","Comment"
"BL5_2","L0402","67.4874mm","158.7mm","67.4874mm","158.7mm","67.4874mm","158.1549mm","B","90.00","Comment"
"BL4_2","L0402","67.4874mm","185.7mm","67.4874mm","185.7mm","67.4874mm","185.1549mm","B","90.00","Comment"
"BL3_2","L0402","67.4874mm","212.7mm","67.4874mm","212.7mm","67.4874mm","212.1549mm","B","90.00","Comment"
"BL2_2","L0402","67.4874mm","239.7mm","67.4874mm","239.7mm","67.4874mm","239.1549mm","B","90.00","Comment"
"BL1_2","L0402","67.4874mm","266.7mm","67.4874mm","266.7mm","67.4874mm","266.1549mm","B","90.00","Comment"
"BL10_3","L0402","94.4874mm","23.7mm","94.4874mm","23.7mm","94.4874mm","23.1549mm","B","90.00","Comment"
"BL9_3","L0402","94.4874mm","50.7mm","94.4874mm","50.7mm","94.4874mm","50.1549mm","B","90.00","Comment"
"BL8_3","L0402","94.4874mm","77.7mm","94.4874mm","77.7mm","94.4874mm","77.1549mm","B","90.00","Comment"
"BL7_3","L0402","94.4874mm","104.7mm","94.4874mm","104.7mm","94.4874mm","104.1549mm","B","90.00","Comment"
"BL6_3","L0402","94.4874mm","131.7mm","94.4874mm","131.7mm","94.4874mm","131.1549mm","B","90.00","Comment"
"BL5_3","L0402","94.4874mm","158.7mm","94.4874mm","158.7mm","94.4874mm","158.1549mm","B","90.00","Comment"
"BL4_3","L0402","94.4874mm","185.7mm","94.4874mm","185.7mm","94.4874mm","185.1549mm","B","90.00","Comment"
"BL3_3","L0402","94.4874mm","212.7mm","94.4874mm","212.7mm","94.4874mm","212.1549mm","B","90.00","Comment"
"BL2_3","L0402","94.4874mm","239.7mm","94.4874mm","239.7mm","94.4874mm","239.1549mm","B","90.00","Comment"
"BL1_3","L0402","94.4874mm","266.7mm","94.4874mm","266.7mm","94.4874mm","266.1549mm","B","90.00","Comment"
"BL10_4","L0402","121.4874mm","23.7mm","121.4874mm","23.7mm","121.4874mm","23.1549mm","B","90.00","Comment"
"BL9_4","L0402","121.4874mm","50.7mm","121.4874mm","50.7mm","121.4874mm","50.1549mm","B","90.00","Comment"
"BL8_4","L0402","121.4874mm","77.7mm","121.4874mm","77.7mm","121.4874mm","77.1549mm","B","90.00","Comment"
"BL7_4","L0402","121.4874mm","104.7mm","121.4874mm","104.7mm","121.4874mm","104.1549mm","B","90.00","Comment"
"BL6_4","L0402","121.4874mm","131.7mm","121.4874mm","131.7mm","121.4874mm","131.1549mm","B","90.00","Comment"
"BL5_4","L0402","121.4874mm","158.7mm","121.4874mm","158.7mm","121.4874mm","158.1549mm","B","90.00","Comment"
"BL4_4","L0402","121.4874mm","185.7mm","121.4874mm","185.7mm","121.4874mm","185.1549mm","B","90.00","Comment"
"BL3_4","L0402","121.4874mm","212.7mm","121.4874mm","212.7mm","121.4874mm","212.1549mm","B","90.00","Comment"
"BL2_4","L0402","121.4874mm","239.7mm","121.4874mm","239.7mm","121.4874mm","239.1549mm","B","90.00","Comment"
"BL1_4","L0402","121.4874mm","266.7mm","121.4874mm","266.7mm","121.4874mm","266.1549mm","B","90.00","Comment"
"BL10_5","L0402","148.4874mm","23.7mm","148.4874mm","23.7mm","148.4874mm","23.1549mm","B","90.00","Comment"
"BL9_5","L0402","148.4874mm","50.7mm","148.4874mm","50.7mm","148.4874mm","50.1549mm","B","90.00","Comment"
"BL8_5","L0402","148.4874mm","77.7mm","148.4874mm","77.7mm","148.4874mm","77.1549mm","B","90.00","Comment"
"BL7_5","L0402","148.4874mm","104.7mm","148.4874mm","104.7mm","148.4874mm","104.1549mm","B","90.00","Comment"
"BL6_5","L0402","148.4874mm","131.7mm","148.4874mm","131.7mm","148.4874mm","131.1549mm","B","90.00","Comment"
"BL5_5","L0402","148.4874mm","158.7mm","148.4874mm","158.7mm","148.4874mm","158.1549mm","B","90.00","Comment"
"BL4_5","L0402","148.4874mm","185.7mm","148.4874mm","185.7mm","148.4874mm","185.1549mm","B","90.00","Comment"
"BL3_5","L0402","148.4874mm","212.7mm","148.4874mm","212.7mm","148.4874mm","212.1549mm","B","90.00","Comment"
"BL2_5","L0402","148.4874mm","239.7mm","148.4874mm","239.7mm","148.4874mm","239.1549mm","B","90.00","Comment"
"BL1_5","L0402","148.4874mm","266.7mm","148.4874mm","266.7mm","148.4874mm","266.1549mm","B","90.00","Comment"
"BL10_6","L0402","175.4874mm","23.7mm","175.4874mm","23.7mm","175.4874mm","23.1549mm","B","90.00","Comment"
"BL9_6","L0402","175.4874mm","50.7mm","175.4874mm","50.7mm","175.4874mm","50.1549mm","B","90.00","Comment"
"BL8_6","L0402","175.4874mm","77.7mm","175.4874mm","77.7mm","175.4874mm","77.1549mm","B","90.00","Comment"
"BL7_6","L0402","175.4874mm","104.7mm","175.4874mm","104.7mm","175.4874mm","104.1549mm","B","90.00","Comment"
"BL6_6","L0402","175.4874mm","131.7mm","175.4874mm","131.7mm","175.4874mm","131.1549mm","B","90.00","Comment"
"BL5_6","L0402","175.4874mm","158.7mm","175.4874mm","158.7mm","175.4874mm","158.1549mm","B","90.00","Comment"
"BL4_6","L0402","175.4874mm","185.7mm","175.4874mm","185.7mm","175.4874mm","185.1549mm","B","90.00","Comment"
"BL3_6","L0402","175.4874mm","212.7mm","175.4874mm","212.7mm","175.4874mm","212.1549mm","B","90.00","Comment"
"BL2_6","L0402","175.4874mm","239.7mm","175.4874mm","239.7mm","175.4874mm","239.1549mm","B","90.00","Comment"
"BL1_6","L0402","175.4874mm","266.7mm","175.4874mm","266.7mm","175.4874mm","266.1549mm","B","90.00","Comment"
"BL10_7","L0402","202.4874mm","23.7mm","202.4874mm","23.7mm","202.4874mm","23.1549mm","B","90.00","Comment"
"BL9_7","L0402","202.4874mm","50.7mm","202.4874mm","50.7mm","202.4874mm","50.1549mm","B","90.00","Comment"
"BL8_7","L0402","202.4874mm","77.7mm","202.4874mm","77.7mm","202.4874mm","77.1549mm","B","90.00","Comment"
"BL7_7","L0402","202.4874mm","104.7mm","202.4874mm","104.7mm","202.4874mm","104.1549mm","B","90.00","Comment"
"BL6_7","L0402","202.4874mm","131.7mm","202.4874mm","131.7mm","202.4874mm","131.1549mm","B","90.00","Comment"
"BL5_7","L0402","202.4874mm","158.7mm","202.4874mm","158.7mm","202.4874mm","158.1549mm","B","90.00","Comment"
"BL4_7","L0402","202.4874mm","185.7mm","202.4874mm","185.7mm","202.4874mm","185.1549mm","B","90.00","Comment"
"BL3_7","L0402","202.4874mm","212.7mm","202.4874mm","212.7mm","202.4874mm","212.1549mm","B","90.00","Comment"
"BL2_7","L0402","202.4874mm","239.7mm","202.4874mm","239.7mm","202.4874mm","239.1549mm","B","90.00","Comment"
"BL1_7","L0402","202.4874mm","266.7mm","202.4874mm","266.7mm","202.4874mm","266.1549mm","B","90.00","Comment"
"BL10_8","L0402","229.4874mm","23.7mm","229.4874mm","23.7mm","229.4874mm","23.1549mm","B","90.00","Comment"
"BL9_8","L0402","229.4874mm","50.7mm","229.4874mm","50.7mm","229.4874mm","50.1549mm","B","90.00","Comment"
"BL8_8","L0402","229.4874mm","77.7mm","229.4874mm","77.7mm","229.4874mm","77.1549mm","B","90.00","Comment"
"BL7_8","L0402","229.4874mm","104.7mm","229.4874mm","104.7mm","229.4874mm","104.1549mm","B","90.00","Comment"
"BL6_8","L0402","229.4874mm","131.7mm","229.4874mm","131.7mm","229.4874mm","131.1549mm","B","90.00","Comment"
"BL5_8","L0402","229.4874mm","158.7mm","229.4874mm","158.7mm","229.4874mm","158.1549mm","B","90.00","Comment"
"BL4_8","L0402","229.4874mm","185.7mm","229.4874mm","185.7mm","229.4874mm","185.1549mm","B","90.00","Comment"
"BL3_8","L0402","229.4874mm","212.7mm","229.4874mm","212.7mm","229.4874mm","212.1549mm","B","90.00","Comment"
"BL2_8","L0402","229.4874mm","239.7mm","229.4874mm","239.7mm","229.4874mm","239.1549mm","B","90.00","Comment"
"BL1_8","L0402","229.4874mm","266.7mm","229.4874mm","266.7mm","229.4874mm","266.1549mm","B","90.00","Comment"
"BL10_9","L0402","256.4874mm","23.7mm","256.4874mm","23.7mm","256.4874mm","23.1549mm","B","90.00","Comment"
"BL9_9","L0402","256.4874mm","50.7mm","256.4874mm","50.7mm","256.4874mm","50.1549mm","B","90.00","Comment"
"BL8_9","L0402","256.4874mm","77.7mm","256.4874mm","77.7mm","256.4874mm","77.1549mm","B","90.00","Comment"
"BL7_9","L0402","256.4874mm","104.7mm","256.4874mm","104.7mm","256.4874mm","104.1549mm","B","90.00","Comment"
"BL6_9","L0402","256.4874mm","131.7mm","256.4874mm","131.7mm","256.4874mm","131.1549mm","B","90.00","Comment"
"BL5_9","L0402","256.4874mm","158.7mm","256.4874mm","158.7mm","256.4874mm","158.1549mm","B","90.00","Comment"
"BL4_9","L0402","256.4874mm","185.7mm","256.4874mm","185.7mm","256.4874mm","185.1549mm","B","90.00","Comment"
"BL3_9","L0402","256.4874mm","212.7mm","256.4874mm","212.7mm","256.4874mm","212.1549mm","B","90.00","Comment"
"BL2_9","L0402","256.4874mm","239.7mm","256.4874mm","239.7mm","256.4874mm","239.1549mm","B","90.00","Comment"
"BL1_9","L0402","256.4874mm","266.7mm","256.4874mm","266.7mm","256.4874mm","266.1549mm","B","90.00","Comment"
"BL10_10","L0402","283.4874mm","23.7mm","283.4874mm","23.7mm","283.4874mm","23.1549mm","B","90.00","Comment"
"BL9_10","L0402","283.4874mm","50.7mm","283.4874mm","50.7mm","283.4874mm","50.1549mm","B","90.00","Comment"
"BL8_10","L0402","283.4874mm","77.7mm","283.4874mm","77.7mm","283.4874mm","77.1549mm","B","90.00","Comment"
"BL7_10","L0402","283.4874mm","104.7mm","283.4874mm","104.7mm","283.4874mm","104.1549mm","B","90.00","Comment"
"BL6_10","L0402","283.4874mm","131.7mm","283.4874mm","131.7mm","283.4874mm","131.1549mm","B","90.00","Comment"
"BL5_10","L0402","283.4874mm","158.7mm","283.4874mm","158.7mm","283.4874mm","158.1549mm","B","90.00","Comment"
"BL4_10","L0402","283.4874mm","185.7mm","283.4874mm","185.7mm","283.4874mm","185.1549mm","B","90.00","Comment"
"BL3_10","L0402","283.4874mm","212.7mm","283.4874mm","212.7mm","283.4874mm","212.1549mm","B","90.00","Comment"
"BL2_10","L0402","283.4874mm","239.7mm","283.4874mm","239.7mm","283.4874mm","239.1549mm","B","90.00","Comment"
"BL1_10","L0402","283.4874mm","266.7mm","283.4874mm","266.7mm","283.4874mm","266.1549mm","B","90.00","Comment"
"BL10_11","L0402","310.4874mm","23.7mm","310.4874mm","23.7mm","310.4874mm","23.1549mm","B","90.00","Comment"
"BL9_11","L0402","310.4874mm","50.7mm","310.4874mm","50.7mm","310.4874mm","50.1549mm","B","90.00","Comment"
"BL8_11","L0402","310.4874mm","77.7mm","310.4874mm","77.7mm","310.4874mm","77.1549mm","B","90.00","Comment"
"BL7_11","L0402","310.4874mm","104.7mm","310.4874mm","104.7mm","310.4874mm","104.1549mm","B","90.00","Comment"
"BL6_11","L0402","310.4874mm","131.7mm","310.4874mm","131.7mm","310.4874mm","131.1549mm","B","90.00","Comment"
"BL5_11","L0402","310.4874mm","158.7mm","310.4874mm","158.7mm","310.4874mm","158.1549mm","B","90.00","Comment"
"BL4_11","L0402","310.4874mm","185.7mm","310.4874mm","185.7mm","310.4874mm","185.1549mm","B","90.00","Comment"
"BL3_11","L0402","310.4874mm","212.7mm","310.4874mm","212.7mm","310.4874mm","212.1549mm","B","90.00","Comment"
"BL2_11","L0402","310.4874mm","239.7mm","310.4874mm","239.7mm","310.4874mm","239.1549mm","B","90.00","Comment"
"BL1_11","L0402","310.4874mm","266.7mm","310.4874mm","266.7mm","310.4874mm","266.1549mm","B","90.00","Comment"
"BL10_12","L0402","337.4874mm","23.7mm","337.4874mm","23.7mm","337.4874mm","23.1549mm","B","90.00","Comment"
"BL9_12","L0402","337.4874mm","50.7mm","337.4874mm","50.7mm","337.4874mm","50.1549mm","B","90.00","Comment"
"BL8_12","L0402","337.4874mm","77.7mm","337.4874mm","77.7mm","337.4874mm","77.1549mm","B","90.00","Comment"
"BL7_12","L0402","337.4874mm","104.7mm","337.4874mm","104.7mm","337.4874mm","104.1549mm","B","90.00","Comment"
"BL6_12","L0402","337.4874mm","131.7mm","337.4874mm","131.7mm","337.4874mm","131.1549mm","B","90.00","Comment"
"BL5_12","L0402","337.4874mm","158.7mm","337.4874mm","158.7mm","337.4874mm","158.1549mm","B","90.00","Comment"
"BL4_12","L0402","337.4874mm","185.7mm","337.4874mm","185.7mm","337.4874mm","185.1549mm","B","90.00","Comment"
"BL3_12","L0402","337.4874mm","212.7mm","337.4874mm","212.7mm","337.4874mm","212.1549mm","B","90.00","Comment"
"BL2_12","L0402","337.4874mm","239.7mm","337.4874mm","239.7mm","337.4874mm","239.1549mm","B","90.00","Comment"
"BL1_12","L0402","337.4874mm","266.7mm","337.4874mm","266.7mm","337.4874mm","266.1549mm","B","90.00","Comment"
"BL10_13","L0402","364.4874mm","23.7mm","364.4874mm","23.7mm","364.4874mm","23.1549mm","B","90.00","Comment"
"BL9_13","L0402","364.4874mm","50.7mm","364.4874mm","50.7mm","364.4874mm","50.1549mm","B","90.00","Comment"
"BL8_13","L0402","364.4874mm","77.7mm","364.4874mm","77.7mm","364.4874mm","77.1549mm","B","90.00","Comment"
"BL7_13","L0402","364.4874mm","104.7mm","364.4874mm","104.7mm","364.4874mm","104.1549mm","B","90.00","Comment"
"BL6_13","L0402","364.4874mm","131.7mm","364.4874mm","131.7mm","364.4874mm","131.1549mm","B","90.00","Comment"
"BL5_13","L0402","364.4874mm","158.7mm","364.4874mm","158.7mm","364.4874mm","158.1549mm","B","90.00","Comment"
"BL4_13","L0402","364.4874mm","185.7mm","364.4874mm","185.7mm","364.4874mm","185.1549mm","B","90.00","Comment"
"BL3_13","L0402","364.4874mm","212.7mm","364.4874mm","212.7mm","364.4874mm","212.1549mm","B","90.00","Comment"
"BL2_13","L0402","364.4874mm","239.7mm","364.4874mm","239.7mm","364.4874mm","239.1549mm","B","90.00","Comment"
"BL1_13","L0402","364.4874mm","266.7mm","364.4874mm","266.7mm","364.4874mm","266.1549mm","B","90.00","Comment"
"BL10_14","L0402","391.4874mm","23.7mm","391.4874mm","23.7mm","391.4874mm","23.1549mm","B","90.00","Comment"
"BL9_14","L0402","391.4874mm","50.7mm","391.4874mm","50.7mm","391.4874mm","50.1549mm","B","90.00","Comment"
"BL8_14","L0402","391.4874mm","77.7mm","391.4874mm","77.7mm","391.4874mm","77.1549mm","B","90.00","Comment"
"BL7_14","L0402","391.4874mm","104.7mm","391.4874mm","104.7mm","391.4874mm","104.1549mm","B","90.00","Comment"
"BL6_14","L0402","391.4874mm","131.7mm","391.4874mm","131.7mm","391.4874mm","131.1549mm","B","90.00","Comment"
"BL5_14","L0402","391.4874mm","158.7mm","391.4874mm","158.7mm","391.4874mm","158.1549mm","B","90.00","Comment"
"BL4_14","L0402","391.4874mm","185.7mm","391.4874mm","185.7mm","391.4874mm","185.1549mm","B","90.00","Comment"
"BL3_14","L0402","391.4874mm","212.7mm","391.4874mm","212.7mm","391.4874mm","212.1549mm","B","90.00","Comment"
"BL2_14","L0402","391.4874mm","239.7mm","391.4874mm","239.7mm","391.4874mm","239.1549mm","B","90.00","Comment"
"BL1_14","L0402","391.4874mm","266.7mm","391.4874mm","266.7mm","391.4874mm","266.1549mm","B","90.00","Comment"
"BL10_15","L0402","418.4874mm","23.7mm","418.4874mm","23.7mm","418.4874mm","23.1549mm","B","90.00","Comment"
"BL9_15","L0402","418.4874mm","50.7mm","418.4874mm","50.7mm","418.4874mm","50.1549mm","B","90.00","Comment"
"BL8_15","L0402","418.4874mm","77.7mm","418.4874mm","77.7mm","418.4874mm","77.1549mm","B","90.00","Comment"
"BL7_15","L0402","418.4874mm","104.7mm","418.4874mm","104.7mm","418.4874mm","104.1549mm","B","90.00","Comment"
"BL6_15","L0402","418.4874mm","131.7mm","418.4874mm","131.7mm","418.4874mm","131.1549mm","B","90.00","Comment"
"BL5_15","L0402","418.4874mm","158.7mm","418.4874mm","158.7mm","418.4874mm","158.1549mm","B","90.00","Comment"
"BL4_15","L0402","418.4874mm","185.7mm","418.4874mm","185.7mm","418.4874mm","185.1549mm","B","90.00","Comment"
"BL3_15","L0402","418.4874mm","212.7mm","418.4874mm","212.7mm","418.4874mm","212.1549mm","B","90.00","Comment"
"BL2_15","L0402","418.4874mm","239.7mm","418.4874mm","239.7mm","418.4874mm","239.1549mm","B","90.00","Comment"
"BL1_15","L0402","418.4874mm","266.7mm","418.4874mm","266.7mm","418.4874mm","266.1549mm","B","90.00","Comment"
"BH1","IDC2.54-24P","27.5361mm","280.9799mm","41.5061mm","279.7099mm","41.5061mm","279.7099mm","B","180.00","Comment"
"BH2","IDC2.54-24P","81.5361mm","280.9799mm","95.5061mm","279.7099mm","95.5061mm","279.7099mm","B","180.00","Comment"
"BH3","IDC2.54-24P","135.5361mm","280.9799mm","149.5061mm","279.7099mm","149.5061mm","279.7099mm","B","180.00","Comment"
"BH4","IDC2.54-24P","189.5361mm","280.9799mm","203.5061mm","279.7099mm","203.5061mm","279.7099mm","B","180.00","Comment"
"BH5","IDC2.54-24P","243.5361mm","280.9799mm","257.5061mm","279.7099mm","257.5061mm","279.7099mm","B","180.00","Comment"
"BH6","IDC2.54-24P","297.5361mm","280.9799mm","311.5061mm","279.7099mm","311.5061mm","279.7099mm","B","180.00","Comment"
"BH7","IDC2.54-24P","351.5361mm","280.9799mm","365.5061mm","279.7099mm","365.5061mm","279.7099mm","B","180.00","Comment"
"BH8","IDC2.54-24P","405.5361mm","280.9799mm","419.5061mm","279.7099mm","419.5061mm","279.7099mm","B","180.00","Comment"

